Case,Tumor core,Edema,Enhancing tumor,Whole tumor
00010,0.8432949252266679,0.8862195177056463,0.8759744605421821,0.905384349838082
00015,0.9159833494896156,0.9216502854220627,0.7848544539285882,0.9340077423669766
00120,0.5940467978988069,0.7738851057293038,0.6777965901481758,0.9327020196979063
00221,0.0,0.9646091265677323,0.9534208059976788,0.964455052736793
00127,0.656407535153472,0.7524066230262794,0.9311237352514486,0.7608863781563735
00055,0.8003549245761599,0.9594377777284505,0.9378200733898671,0.9577441132762659
00117,0.8360597403389198,0.8591986052139297,0.5630737844269289,0.8942711173415566
00213,0.7302947005049015,0.8737702655855816,0.8324751857318958,0.8560284023141976
00046,0.0,0.5261249849855834,0.5883620689623472,0.9574777912181155
00113,0.884074089052408,0.8535505239589944,0.7698818695427284,0.9157980225176905
00037,0.3687943262324162,0.945848746403455,0.9159049360125322,0.9434327977555143
00230,0.7977648828706942,0.9471559519070621,0.9114926714436093,0.94689155055811
00092,0.04916683225933257,0.08292524517762123,0.0,0.6275264677574032
00044,0.8854132825911332,0.8857920871375576,0.8163435582820083,0.887663004105255
00002,0.6777278731832614,0.9569464882317653,0.7690825089989601,0.95073290523327
00076,0.08263703975752214,0.869039644639782,0.914698969444864,0.883892200547094
00068,0.4387291981841784,0.8965352583457303,0.6929724596387973,0.8779475982531686
00050,0.023648648648249178,0.951201240111339,0.8071629912107326,0.9524928229439812
00097,0.21212960398761918,0.910201007728267,0.8544726301722972,0.9440508915860037
00007,0.812167071871389,0.9170220073888274,0.8369405099149548,0.8999190857852759
00150,0.8772157137971033,0.946028525392345,0.9145001716549956,0.9378540038749826
00026,0.7363799640775567,0.8859736902453308,0.8801417831515651,0.8827757150330465
00056,0.8165057930874918,0.8915108877721345,0.8628980731075039,0.8749280690156571
00152,0.8433310253665761,0.8336663169140885,0.8984153373180211,0.8835425470730638
00025,0.9063588762257355,0.7468228218722207,0.8598518804561599,0.9187400252892921
00133,0.8912406030650919,0.8834470792365018,0.9054331995507963,0.9018463269515692
00028,0.8366480026140286,0.6602101177479838,0.8327573891386257,0.9445712955143047
00011,0.9046817649980118,0.9637593306948228,0.8871921551012638,0.9662913273964233
00131,0.9477323504947981,0.9513037505257469,0.9273549946561596,0.9552512669445741
00008,0.6816628030331457,0.816659982812854,0.8726717314976549,0.9205294658299918
00141,0.7054314658854259,0.8358147965067829,0.8601334471744704,0.8587276112216362
00202,0.16580596838405573,0.7946604501428143,0.5864596016447458,0.6494514178973603
00135,0.2506127021916355,0.8961407028142546,0.8068936540346299,0.8797102717077215
00115,0.6892950910971094,0.516276247117306,0.7414550049256466,0.7692720128115315
00119,0.4079718640045959,0.8821960455089258,0.7697929354437983,0.881063157529176
00047,0.6437414030243639,0.7869900872501087,0.8916960033128537,0.7857870406641128
00051,0.3922580645144419,0.9539640013583792,0.8583083383319903,0.9535303196533242
00041,0.5271317829448852,0.873642820638422,0.840305027022403,0.8761940218082632
00121,0.7745189316922342,0.4061967880871413,0.7876784494959872,0.7944733335336935
00081,0.016380784292094903,0.6765802350372266,0.523279240186738,0.8978247380232837
00161,0.9253298893816694,0.6508416816004692,0.8926065429360519,0.7605117206406383
00110,0.0,0.6585695354013188,0.0,0.8400514297017054
00080,0.0,0.9540845416837955,0.9696127712240852,0.950209037537699
00095,0.6969067296339612,0.7162372175426044,0.32336204244843597,0.7430793177944814
00220,0.8009759498077371,0.930761981607949,0.9427393910114669,0.9270522723719756
00144,0.5945945945917753,0.7415652893129057,0.8233317330766335,0.7449077941268569
00093,0.0,0.5840967993916111,0.4286833855782575,0.907130051467939
00122,0.9290069902332734,0.9521548187828313,0.9362673921929408,0.9502892321612852
00096,0.8844418413962335,0.7282173996390293,0.8070990328951412,0.9430497060629731
00014,0.7960784313713483,0.9536301182162217,0.875576036865748,0.9528120361376902
